1,9,9,7,1
4860776.4,4394104.399999999,18469.600000000002,2,"set(['26413', '26928'])"
1,9,9,7,2
105035931.10000001,60935579.824999996,4471623.175,14,"set(['23994', '26770', '16159', '6460', '16107', '6336', '21710', '26413', '27321', '26928', '16009'])"
1,9,9,7,3
190694590.96666667,62555362.49166666,3643737.175,15,"set(['23994', '16533', '26770', '26413', '6460', '16107', '6336', '21710', '16159', '27321', '26928', '16009'])"
1,9,9,7,4
292167047.53333336,66885060.69166666,2774590.9749999996,20,"set(['23994', '16533', '26770', '28302', '16159', '6460', '28112', '16107', '6336', '21710', '26413', '27321', '26928', '16629', '16009'])"
1,9,9,8,1
391580705.5,88791118.09166667,4805657.575,18,"set(['23994', '16533', '26770', '28302', '16159', '6460', '28112', '16107', '6336', '21710', '26413', '27321', '26928', '16629', '16009'])"
1,9,9,8,2
450485903.5833333,83179161.83333333,7194698.5,30,"set(['23994', '26948', '26413', '16277', '26928', '16629', '25680', '27648', '26600', '28086', '6472', '25982', '27321', '26037', '16533', '16108', '16107', '16122', '21710', '26770', '16009', '28302', '27399', '6460', '6461', '14998', '16159', '6336', '28112'])"
1,9,9,8,3
434387796.1666667,55485606.333333336,6551079.0,31,"set(['23994', '26948', '26413', '16277', '26928', '16629', '25680', '27648', '26600', '28086', '6472', '25982', '27321', '6460', '26037', '16533', '16108', '16107', '16122', '21710', '26770', '16009', '28302', '27399', '11164', '6461', '14998', '16159', '6336', '28112'])"
1,9,9,8,4
532376208.75,60803446.333333336,4469074.5,32,"set(['23994', '26948', '16059', '26413', '16277', '26928', '16629', '25680', '27648', '26600', '28086', '6472', '27479', '25982', '27321', '6460', '26037', '16533', '16108', '16107', '16122', '21710', '26770', '16009', '28302', '27399', '11164', '6461', '14998', '16159', '6336', '28112'])"
1,9,9,9,1
558773236.3333334,44045304.333333336,12092621.5,32,"set(['23994', '26948', '16059', '26413', '16277', '26928', '16629', '25680', '27648', '26600', '28086', '6472', '27479', '25982', '27321', '6460', '26037', '16533', '16108', '16107', '16122', '21710', '26770', '16009', '28302', '27399', '11164', '6461', '14998', '16159', '6336', '28112'])"
1,9,9,9,2
660415878.6666667,104718108.66666666,15568900.0,47,"set(['23994', '26948', '16059', '16336', '103101', '26413', '16277', '26928', '16629', '26805', '15349', '25680', '27648', '26600', '16159', '6472', '27479', '27321', '25982', '15820', '26397', '27327', '6460', '28077', '26037', '16533', '16108', '14860', '103098', '16107', '16122', '21710', '16249', '15017', '6630', '27947', '26770', '16009', '28302', '27399', '11164', '6461', '14998', '28086', '6336', '28112', '22066'])"
1,9,9,9,3
783066573.0,103087934.66666667,13602257.0,50,"set(['23994', '26948', '16059', '16336', '103101', '26413', '16277', '26928', '16629', '26805', '15349', '25680', '27648', '26600', '14984', '16159', '6472', '27479', '27321', '25982', '25772', '15820', '26397', '27327', '6460', '28077', '26037', '16533', '16108', '14860', '103098', '16107', '16122', '21710', '6461', '16249', '15017', '6630', '27947', '26770', '16009', '28302', '27399', '11164', '26307', '14998', '28086', '6336', '28112', '22066'])"
1,9,9,9,4
970511544.0,111040683.83333334,39088823.0,50,"set(['23994', '26948', '16059', '16336', '103101', '26413', '16277', '26928', '16629', '26805', '15349', '25680', '27648', '26600', '14984', '16159', '6472', '27479', '27321', '25982', '25772', '15820', '26397', '27327', '6460', '28077', '26037', '16533', '16108', '14860', '103098', '16107', '16122', '21710', '6461', '16249', '15017', '6630', '27947', '26770', '16009', '28302', '27399', '11164', '26307', '14998', '28086', '6336', '28112', '22066'])"
2,0,0,0,1
1191444467.0,103976628.0,41772265.75,52,"set(['23994', '26948', '16059', '16336', '103101', '26413', '16277', '26928', '16629', '26805', '15349', '25680', '27648', '26600', '14984', '16159', '26456', '6472', '27479', '27321', '25982', '25772', '15820', '26397', '27327', '6460', '16281', '26037', '16533', '16108', '14860', '103098', '16107', '16122', '21710', '6461', '16249', '15017', '6630', '27947', '26770', '16009', '28302', '27399', '11164', '26307', '14998', '28086', '6336', '28112', '28077', '22066'])"
2,0,0,0,2
1344673217.0833333,179051746.16666663,26293991.083333336,72,"set(['23994', '26948', '16474', '16059', '22112', '27888', '15084', '103101', '26413', '16277', '5079', '16437', '26928', '16629', '26805', '26291', '25680', '15286', '27972', '6336', '26600', '14984', '27648', '16159', '15349', '6472', '27479', '27321', '25982', '25772', '15820', '26397', '27327', '6460', '27325', '16281', '27329', '26037', '16533', '16108', '14860', '103098', '16107', '16122', '21710', '6461', '103138', '16249', '103114', '15017', '6630', '27947', '16282', '15548', '103133', '16336', '26770', '16009', '28302', '27399', '11164', '26307', '14998', '26456', '25990', '28086', '15394', '28328', '28112', '16033', '28077', '22066'])"
2,0,0,0,3
1360021965.1666667,146609149.16666666,107790056.08333333,74,"set(['23994', '26948', '16474', '16059', '22112', '27888', '11946', '15084', '103101', '26413', '16277', '5079', '16437', '26928', '16629', '26805', '26291', '25680', '15286', '27972', '6336', '26600', '14984', '27648', '27474', '15349', '6472', '27479', '27321', '25982', '25772', '15820', '26397', '27327', '6460', '27325', '16281', '27329', '26037', '16533', '16108', '14860', '103098', '16107', '16122', '21710', '6461', '103138', '16249', '103114', '15017', '6630', '27947', '16282', '15548', '103133', '16336', '26770', '16009', '28302', '27399', '11164', '26307', '14998', '16159', '26456', '25990', '28086', '15394', '28328', '28112', '16033', '28077', '22066'])"
2,0,0,0,4
1404960850.25,155295802.16666666,42433658.08333333,78,"set(['23994', '26948', '16474', '16059', '22112', '27888', '11946', '15084', '103101', '26413', '16277', '5079', '16437', '26928', '16629', '26805', '26291', '25680', '15286', '27972', '25772', '26600', '14984', '27648', '27474', '15349', '6472', '27479', '27321', '25982', '27226', '15820', '26397', '27327', '6460', '27325', '16281', '27329', '26037', '6336', '28077', '16533', '16108', '14860', '15880', '16009', '16107', '16122', '21710', '6461', '103138', '16249', '103114', '15017', '6630', '27947', '16282', '15548', '103133', '16336', '26770', '28025', '28302', '27399', '11164', '26307', '14998', '16159', '26456', '25990', '28086', '15394', '28328', '28112', '103098', '16033', '103147', '22066'])"
2,0,0,1,1
1404478034.5714285,125640364.3452381,28047979.75,80,"set(['23994', '26948', '16474', '16059', '22112', '27888', '11946', '15084', '103101', '26413', '16277', '5079', '16437', '26928', '16629', '26805', '26291', '25680', '15286', '27972', '25772', '26600', '14984', '27648', '27474', '15349', '6472', '27479', '27321', '25982', '27226', '15820', '26397', '27327', '15548', '27325', '16281', '27329', '26037', '6460', '28077', '16533', '16108', '15492', '14860', '15880', '16009', '16107', '16122', '21710', '6336', '6461', '103138', '16249', '103114', '15017', '6630', '27947', '16282', '27963', '103133', '16336', '26770', '28025', '28302', '27399', '11164', '26307', '14998', '16159', '26456', '25990', '28086', '15394', '28328', '28112', '103098', '16033', '103147', '22066'])"
2,0,0,1,2
1501739737.0238094,94436515.01190476,40873197.25,89,"set(['23994', '26948', '16474', '27888', '16277', '5079', '15286', '14984', '6472', '103147', '25772', '27963', '16281', '16282', '15394', '26770', '28025', '14998', '28086', '26413', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '15880', '16122', '16249', '103114', '27399', '26307', '16159', '28328', '103144', '16336', '11946', '15084', '103101', '16437', '27648', '26332', '25982', '27321', '27327', '27325', '27329', '26037', '16533', '16108', '16107', '103138', '15017', '103136', '15548', '103133', '23924', '16009', '28302', '25990', '11164', '15492', '16033', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '26456', '27479', '27226', '28077', '14860', '103098', '21710', '22066', '6631', '6630', '27947', '6460', '6461', '6336', '16299', '28112'])"
2,0,0,1,3
1458251654.9761903,111320723.94047618,85101817.25,92,"set(['23994', '26948', '16474', '27888', '16277', '5079', '15286', '14984', '6472', '103147', '27767', '25772', '27963', '16281', '16282', '15394', '26770', '28025', '14998', '28086', '26413', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '15880', '16122', '16249', '103114', '27399', '26307', '16159', '28328', '103144', '16336', '11946', '15084', '103101', '16437', '27648', '26332', '25982', '27321', '27327', '27325', '27329', '26037', '16533', '16108', '16107', '103138', '15017', '103136', '15548', '103133', '23924', '16009', '28302', '25990', '6460', '15492', '6054', '16033', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '26456', '27479', '27226', '28077', '26055', '14860', '103098', '21710', '22066', '6631', '6630', '27947', '11164', '6461', '6336', '16299', '28112'])"
2,0,0,1,4
1557853674.9285715,164653555.27380952,30358838.75,98,"set(['23994', '26948', '16474', '27888', '16277', '5079', '15286', '14984', '6472', '103147', '27767', '25772', '12177', '27963', '16281', '16282', '15394', '28025', '14998', '28086', '21665', '26413', '26928', '15349', '25680', '23572', '17413', '26600', '15820', '26397', '14828', '15880', '16122', '16249', '103114', '16033', '16009', '27399', '26307', '16159', '28328', '103144', '34991', '16336', '11946', '15084', '103101', '16437', '27648', '26332', '25982', '27321', '27327', '27325', '103183', '26037', '16533', '16108', '16107', '103138', '15017', '103136', '27329', '15548', '103133', '23924', '26770', '28302', '25990', '6460', '15492', '6054', '22885', '16059', '22112', '16629', '26805', '26291', '27972', '27474', '26456', '27479', '27226', '28077', '26055', '14860', '103098', '21710', '22066', '6631', '6630', '27947', '11164', '6461', '6336', '16299', '28112'])"
2,0,0,2,1
