19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,,,,,,20144,,20151,,,FundName,LPName,Last Date reported,3/31/2015,3/31/2015,,,,,,,,,,,,,,,,,
, '16009', '26928', '26413', '26413', '6472', '6472', '28086', '28086', '15349', '15349', '15349', '15349', '5079', '16277', '16277', '16277', '25772', '27767', '27767', '103147', '6472', '28053', '28053', '14982', '15286', '15282', '15286', '15286', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '16277', '16277', '16277', '16277', '29192', '14885', '14984', '14984', '14984', '26473', '26473', '26473', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '13736', '13736', '13736', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '28995', '55982',,,,,,5566,0,5577,,,Carlyle Partners III,California Public Employees Retirement System,12/31/2014,1,,,,,,,,,,,,,,,,,6472,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472"
,, '16009', '27321', '27321', '25982', '25982', '6472', '6472', '25680', '25680', '25680', '25680', '16437', '5079', '5079', '5079', '27963', '25772', '25772', '27767', '103147', '6472', '6472', '14984', '15282', '14982', '15282', '15282', '15287', '15287', '15287', '15287', '15287', '15287', '15287', '15287', '5079', '5079', '5079', '5079', '16277', '29192', '23698', '23698', '23698', '14982', '14982', '14982', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '21562', '21562', '21562', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '13736', '26578',,,,,,5570,0,5683,,,Castlelake II,Castlelake,6/30/2015,-1.011111111,,,,,,,,,,,,,,,,,6630,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630"
,,, '26928', '26928', '27321', '27321', '27479', '27479', '27648', '27648', '27648', '27648', '26928', '16437', '16437', '16437', '16281', '27963', '12177', '25772', '27767', '103147', '103147', '28053', '14982', '14984', '14982', '14982', '15286', '15286', '15286', '15286', '15286', '15286', '15286', '15286', '26473', '21562', '21562', '21562', '5079', '16277', '26837', '26837', '103263', '14984', '14984', '26578', '14982', '14982', '14982', '14982', '14982', '14982', '14982', '14982', '14982', '14982', '14982', '26473', '26473', '26473', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '21562', '61589',,,,,,5571,1,5688,,,Castlelake I,Castlelake,6/30/2015,-1.011111111,,,,,,,,,,,,,,,,,6631,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631"
,,, '16629', '16629', '26037', '6460', '25982', '25982', '26600', '26600', '26600', '26600', '16629', '26928', '26928', '26928', '16282', '16281', '27963', '12177', '27416', '27767', '27767', '6472', '14984', '27686', '14984', '14984', '15282', '15282', '15282', '15282', '15282', '15282', '15282', '15282', '15287', '26473', '26473', '26473', '21562', '5079', '16677', '16677', '103267', '23698', '23698', '23698', '26578', '26578', '26578', '26578', '26578', '26578', '26578', '26578', '26578', '26578', '26578', '14982', '14982', '14982', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '26473', '22530',,,,,,5577,1,6497,,,Land Opportunities,Castlelake,6/30/2015,-1.011111111,,,,,,,,,,,,,,,,,7801,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801"
,,, '16009', '16009', '16533', '26037', '27321', '27321', '16159', '14984', '14984', '14984', '26805', '16629', '16629', '16629', '15394', '16282', '16281', '27963', '25772', '27416', '27416', '103147', '27686', '28053', '27686', '27686', '26016', '26016', '26016', '26016', '26016', '14828', '14828', '14828', '15286', '15287', '15287', '15287', '26473', '21562', '27837', '27837', '26837', '103263', '103263', '103263', '23698', '23698', '23698', '23698', '23698', '61589', '61589', '61589', '61589', '61589', '61589', '26578', '26578', '26578', '14982', '55982', '55982', '55982', '55982', '55982', '55982', '55982', '55982', '54501',,,,,,5683,1,6707,,,TCW/Craton Equity Investors II,Chicago Transit Authority Employees' Retirement,6/30/2014,3.044444444,,,,,,,,,,,,,,,,,8952,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952"
,,,,, '16108', '16533', '6460', '6460', '6472', '16159', '16159', '16159', '26291', '26805', '26805', '26805', '26770', '15394', '16282', '16281', '12177', '25772', '25772', '27767', '28053', '6472', '28053', '28053', '14982', '14982', '14982', '14982', '14982', '22328', '22328', '22328', '26332', '15286', '15286', '15286', '15287', '26473', '16571', '16571', '16677', '103267', '103264', '103264', '103263', '103263', '103263', '103263', '103263', '23698', '23698', '23698', '23698', '23698', '23698', '61589', '61589', '61589', '26578', '14982', '14982', '14982', '14982', '14982', '14982', '14982', '14982', '103263',,,,,,5688,1,6907,,,JP Morgan Global Maritime Investment Fund,Dallas Police & Fire Pension System,9/30/2014,2.022222222,,,,,,,,,,,,,,,,,9094,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094"
,,,,, '16107', '16108', '26037', '26037', '27479', '6472', '6472', '26456', '25680', '26291', '26291', '26291', '28025', '26770', '15394', '16282', '27963', '12177', '12177', '27416', '6472', '103147', '6472', '6472', '14984', '14984', '14984', '14984', '14984', '14982', '14982', '14982', '15282', '26332', '26332', '26332', '15286', '15287', '13603', '13603', '27837', '103268', '103267', '103267', '103264', '103264', '103264', '103264', '103264', '103263', '103263', '103263', '22530', '22530', '22530', '23698', '23698', '23698', '61589', '26578', '26578', '26578', '26578', '26578', '26578', '26578', '26578', '103264',,,,,,6054,0,6909,,,Ares Corporate Opportunities Fund II,Hartford Municipal Employees Retirement Fund,9/30/2014,2.022222222,,,,,,,,,,,,,,,,,9216,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216"
,,,,, '16122', '16107', '16533', '16533', '27321', '27479', '27479', '6472', '15286', '25680', '25680', '25680', '14998', '28025', '28025', '15394', '16281', '15548', '15548', '25772', '103147', '27767', '103147', '103147', '27686', '27686', '27686', '27686', '27686', '14984', '14984', '14984', '14828', '15282', '15282', '15282', '26332', '15286', '27409', '27409', '16571', '26837', '103268', '103268', '103267', '103267', '103267', '103267', '103267', '103264', '103264', '103264', '103263', '103263', '103263', '22530', '22530', '22530', '23698', '61589', '15820', '15820', '15820', '15820', '15820', '15820', '15820', '103267',,,,,,6326,0,7168,,,Hicks Muse Tate & Furst Equity Fund V,Houston Firefighters' Relief & Retirement,12/31/2013,5.055555556,,,,,,,,,,,,,,,,,9263,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263"
,,,,, '21710', '16122', '16108', '16108', '25982', '27321', '27321', '27479', '27972', '15286', '15286', '15286', '28086', '14998', '14998', '28025', '16282', '16281', '16281', '12177', '27767', '27416', '27767', '27767', '28053', '28053', '28053', '28053', '28053', '27686', '27686', '27686', '22328', '14828', '14828', '14828', '8547', '26332', '15270', '27407', '13603', '16677', '26837', '26837', '103268', '103268', '103268', '103268', '103268', '103267', '103267', '103267', '103264', '103264', '103264', '103263', '103263', '54501', '22530', '23698', '61589', '61589', '61589', '61589', '61589', '61589', '61589', '103268',,,,,,6336,0,7348,,,GS Capital Partners III,Houston Municipal Employees' Pension System,9/30/2014,2.022222222,,,,,,,,,,,,,,,,,9531,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531"
,,,,, '26770', '21710', '16107', '16107', '15820', '25982', '25982', '27321', '6336', '27972', '27972', '27972', '26413', '28086', '28086', '14998', '15394', '16282', '16282', '15548', '27416', '25772', '27416', '27416', '6472', '6472', '6472', '6472', '26079', '28053', '28053', '28053', '14982', '22328', '22328', '22328', '15282', '8547', '27407', '25744', '27409', '16679', '16677', '16677', '26837', '26837', '26837', '26837', '33746', '103268', '103268', '103268', '103267', '103267', '103267', '103264', '103264', '103263', '54501', '22530', '23698', '23698', '23698', '23698', '23698', '23698', '23698', '33746',,,,,,6442,0,7349,,,Brockway Moran & Partners Fund,Houston Municipal Employees' Pension System,12/31/2011,13.17777778,,,,,,,,,,,,,,,,,9545,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545"
