19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,,,,,,20144,,20151,,,FundName,LPName,Last Date reported,3/31/2015,3/31/2015,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,, '21710', '27226', '27972', '26960', '27329', '103136', '26871', '21950', '26332', '15644', '15556', '6631', '34991', '14935', '103111', '15233', '23254', '16126', '11761', '17310', '15733', '27843', '14998', '27767', '15286', '11164', '103398', '27226', '13188', '27474', '27474', '33690', '16033', '8837', '13058', '51233', '26877', '16107', '26871', '16533', '28144', '7551', '23397', '93215', '7349', '10022', '10022', '10796', '50998', '105036', '103194', '48410',,,,,,12947,1,14828,,,1818 Mezzanine Fund II,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,26878,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878"
,,,,,,,,,,,,,,,,,,,,, '16448', '14805', '27474', '16059', '27963', '27329', '103201', '15729', '25982', '10022', '16437', '15556', '103194', '28328', '14935', '28086', '23948', '16122', '103207', '26397', '27648', '5415', '23687', '8493', '15282', '103400', '26658', '27056', '27479', '13188', '13188', '16629', '16215', '16033', '14811', '23800', '13644', '26877', '16107', '16108', '26878', '28144', '28142', '93217', '13206', '7348', '7348', '26433', '52636', '11946', '49460', '48411',,,,,,12972,1,14881,,,Audax Mezzanine Fund,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,26928,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928"
,,,,,,,,,,,,,,,,,,,,, '22066', '28077', '5195', '22112', '103133', '27963', '16107', '26871', '27321', '27456', '46943', '16437', '25709', '6472', '28328', '103198', '26140', '17429', '5683', '28228', '13616', '26600', '15218', '6326', '21231', '14881', '103395', '16448', '21731', '27479', '27479', '26805', '33690', '16215', '14810', '13058', '34976', '13644', '26877', '26871', '16533', '26878', '7551', '35699', '103226', '7349', '7349', '10022', '46943', '52828', '78817', '54079',,,,,,13058,1,14882,,,Blackstone Energy Partners I,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,26948,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948"
,,,,,,,,,,,,,,,,,,,,, '6631', '26055', '14881', '16629', '23924', '103133', '103138', '103201', '27327', '26332', '9879', '46943', '8502', '103213', '6472', '103111', '25973', '27711', '15522', '27890', '28039', '28037', '103376', '8498', '27686', '28041', '7821', '103398', '27226', '21731', '21731', '12947', '16629', '33690', '8837', '14811', '23436', '34976', '13644', '16107', '16108', '16533', '28144', '23397', '103222', '13206', '51348', '7348', '27996', '50998', '105036', '93102',,,,,,13136,1,14885,,,Falcon Mezzanine Partners II,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,26960,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960"
,,,,,,,,,,,,,,,,,,,,, '6630', '14860', '27479', '26805', '8595', '23924', '15017', '16107', '27325', '25982', '15644', '9879', '9539', '103218', '103213', '14935', '27507', '16249', '16894', '11761', '15025', '5566', '103375', '28210', '9832', '27740', '13371', '26658', '27056', '27226', '27226', '13506', '26805', '16629', '16033', '14810', '32584', '23436', '34976', '26877', '26871', '16108', '26878', '28142', '93215', '103226', '13206', '7349', '10796', '52636', '11946', '51233',,,,,,13185,1,14927,,,Insight Venture Partners VIII,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,27056,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056"
,,,,,,,,,,,,,,,,,,,,, '27947', '103098', '5190', '26291', '28302', '8595', '103136', '26877', '11624', '27321', '10022', '15644', '11946', '34991', '103218', '28328', '21693', '103114', '15880', '103207', '14927', '15733', '8971', '10889', '6472', '5079', '15563', '103395', '16448', '27056', '27056', '12694', '12947', '26805', '16215', '8837', '48411', '48412', '23436', '13644', '16107', '26871', '16533', '7551', '93217', '103222', '103226', '51348', '26433', '46943', '52828', '23800',,,,,,13188,1,14935,,,Prudential Capital Partners,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,27075,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075"
,,,,,,,,,,,,,,,,,,,,, '11164', '21710', '27226', '27972', '25990', '28302', '27329', '103138', '103181', '27327', '103226', '26433', '15084', '103194', '34991', '6472', '27399', '23254', '14823', '5683', '17310', '27648', '13250', '14991', '27767', '15287', '26063', '7821', '103398', '16448', '16448', '21710', '13506', '12947', '33690', '16033', '51233', '32584', '48412', '34976', '26877', '16107', '16108', '28144', '35699', '93215', '103222', '13206', '10022', '27996', '50998', '13058',,,,,,13206,1,14937,,,Gleacher Mezzanine Partners II,Teachers' Retirement System of Louisiana,9/30/2014,2.022222222,,,,,,,,,,,,,,,,,27125,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125"
,,,,,,,,,,,,,,,,,,,,, '6461', '16448', '14805', '27474', '6460', '25990', '27963', '15017', '103183', '27325', '27456', '10022', '26960', '25709', '103194', '103213', '5577', '22906', '16126', '15522', '26397', '13616', '8975', '14995', '8493', '15286', '26890', '13371', '26658', '103398', '103398', '27474', '12694', '13506', '16629', '16215', '23800', '48411', '32584', '23436', '13644', '26877', '26871', '26878', '23397', '93217', '93215', '103226', '7348', '10796', '52636', '14811',,,,,,13210,1,14958,,,Roark Capital Partners III,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,27166,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166"
,,,,,,,,,,,,,,,,,,,,, '26456', '22066', '28077', '5195', '15497', '6460', '103133', '103136', '26037', '11624', '26332', '103226', '9531', '8502', '103216', '103218', '22885', '23948', '16122', '16894', '28228', '28039', '5499', '14998', '6326', '15282', '11164', '15563', '103395', '26658', '26658', '13188', '21710', '12694', '26805', '33690', '13058', '51233', '48410', '48412', '34976', '13644', '16107', '16533', '28142', '35699', '93217', '103222', '7349', '26433', '46943', '24624',,,,,,13225,1,14974,,,Hicks Muse Tate & Furst Equity Fund III,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,27327,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327"
,,,,,,,,,,,,,,,,,,,,, '6336', '16442', '26055', '14881', '15492', '15497', '23924', '27329', '27125', '103181', '25982', '27456', '103101', '9539', '25687', '34991', '27651', '26140', '17429', '15880', '27890', '15025', '26928', '23687', '8498', '21231', '103405', '26063', '7821', '103395', '103395', '27479', '27474', '21710', '12947', '16629', '14811', '23800', '48411', '32584', '23436', '34976', '26877', '16108', '7551', '23397', '35699', '93215', '51348', '10022', '27996', '8837',,,,,,13250,1,14991,,,Peninsula Fund III,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,27409,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409"
,,,,,,,,,,,,,,,,,,,,, '16299', '6630', '27939', '27479', '6054', '15492', '8595', '27963', '103187', '103183', '27321', '26332', '6631', '11946', '25709', '103194', '28053', '25973', '27711', '14823', '11761', '14927', '22405', '15218', '28210', '27686', '103400', '26890', '13371', '7821', '7821', '21731', '13188', '27474', '13506', '26805', '14810', '13058', '51233', '48410', '48412', '23436', '13644', '26871', '28144', '28142', '23397', '93217', '13206', '7348', '10796', '51330',,,,,,13354,1,14995,,,TCW/Crescent Mezzanine Partners III,Teachers' Retirement System of Louisiana,12/31/2014,1,,,,,,,,,,,,,,,,,27627,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627"
,,,,,,,,,,,,,,,,,,,,, '28112', '27947', '14860', '5190', '16033', '26307', '28302', '103133', '16533', '26037', '27327', '25982', '15556', '15084', '8502', '103216', '27657', '27507', '16249', '16126', '103207', '17310', '25680', '103376', '10889', '9832', '14881', '11164', '15563', '13371', '13371', '27226', '27479', '13188', '12694', '12947', '8837', '14811', '23800', '48411', '32584', '48412', '34976', '16107', '26878', '7551', '28142', '35699', '103226', '7349', '26433', '16215',,,,,,13371,1,15002,,,Merit Mezzanine Fund IV,Teachers Retirement System of the State of Illinois,3/31/2014,4.055555556,,,,,,,,,,,,,,,,,27686,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686"
,,,,,,,,,,,,,,,,,,,,,, '11164', '103098', '27226', '26960', '6054', '25990', '23924', '16108', '27125', '27325', '27321', '16437', '26960', '9539', '25687', '11759', '21693', '103114', '16122', '5683', '26397', '5491', '103375', '14991', '6472', '28041', '103405', '26063', '15563', '15563', '27056', '21731', '27479', '21710', '13506', '16033', '14810', '13058', '51233', '48410', '32584', '23436', '26877', '16533', '28144', '7551', '23397', '103222', '51348', '10022', '33919',,,,,,13402,1,15017,,,Elevation Partners I,Teachers Retirement System of the State of Illinois,3/31/2014,4.055555556,,,,,,,,,,,,,,,,,27888,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888"
,,,,,,,,,,,,,,,,,,,,,, '6461', '21710', '14805', '16059', '16033', '6460', '8595', '8666', '103187', '11624', '27327', '46943', '9531', '11946', '25709', '15233', '27399', '23254', '17429', '15522', '28228', '25685', '103278', '14995', '27767', '27740', '103400', '26890', '26063', '26063', '16448', '27226', '21731', '27474', '12694', '16215', '8837', '14811', '23800', '48411', '48410', '48412', '13644', '16108', '26878', '28144', '103348', '93215', '13206', '7348', '54373',,,,,,13506,1,15025,,,Welsh Carson Anderson & Stowe X,Teachers Retirement System of the State of Illinois,12/31/2013,5.055555556,,,,,,,,,,,,,,,,,27890,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890"
,,,,,,,,,,,,,,,,,,,,,, '26456', '16448', '28077', '22112', '26960', '15497', '28302', '21950', '16533', '103181', '27325', '9879', '103101', '15084', '8502', '17302', '5577', '22906', '27711', '16894', '27890', '13616', '8971', '14998', '16966', '5079', '27744', '11164', '26890', '26890', '103398', '27056', '27226', '13188', '21710', '33690', '16033', '14810', '13058', '51233', '48411', '32584', '34976', '26871', '16533', '26878', '28142', '93217', '103226', '7349', '33690',,,,,,13603,1,15029,,,Wind Point Partners VI,Teachers Retirement System of the State of Illinois,3/31/2014,4.055555556,,,,,,,,,,,,,,,,,28039,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890,28039"
,,,,,,,,,,,,,,,,,,,,,, '6336', '22066', '26055', '16629', '16059', '15492', '25990', '15729', '16108', '103183', '11624', '15644', '6631', '26960', '9539', '28086', '22885', '23948', '16249', '15880', '11761', '23971', '13250', '23687', '8493', '7952', '28041', '103405', '11164', '11164', '26658', '16448', '27056', '27479', '27474', '16629', '16215', '8837', '14811', '23800', '54079', '48410', '23436', '16107', '16108', '16533', '7551', '35699', '103222', '51348', '12947',,,,,,13616,1,15104,,,Thayer Equity Investors V,Teachers Retirement System of the State of Illinois,9/30/2013,6.077777778,,,,,,,,,,,,,,,,,28053,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890,28039,28053"
,,,,,,,,,,,,,,,,,,,,,, '16299', '16442', '27939', '26805', '22112', '26307', '6460', '26871', '8666', '26037', '103181', '26433', '15556', '9531', '11946', '4958', '27651', '26140', '103114', '14823', '103207', '14927', '8975', '15218', '6326', '15287', '27740', '103400', '103405', '103405', '103395', '103398', '16448', '21731', '13188', '26805', '33690', '16033', '14810', '13058', '51233', '48411', '48412', '26877', '26871', '16108', '28144', '23397', '93215', '13206', '13506',,,,,,13644,1,15159,,,Avenue Special Situations Fund V,Teachers Retirement System of the State of Illinois,12/31/2013,5.055555556,,,,,,,,,,,,,,,,,28068,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890,28039,28053,28068"
,,,,,,,,,,,,,,,,,,,,,, '28112', '6630', '14860', '26291', '16629', '6054', '15497', '103201', '21950', '27125', '103183', '10022', '16437', '103101', '15084', '103111', '28053', '21710', '23254', '16126', '5683', '15820', '12908', '103376', '8498', '15286', '5079', '27744', '103400', '103400', '7821', '26658', '103398', '27226', '27479', '12947', '16629', '16215', '8837', '14811', '23800', '54079', '32584', '13644', '16107', '26871', '26878', '103348', '93217', '103226', '56781',,,,,,13692,1,15170,,,Trilantic Capital Partners III,Teachers Retirement System of the State of Illinois,12/31/2014,1,,,,,,,,,,,,,,,,,28086,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890,28039,28053,28068,28086"
,,,,,,,,,,,,,,,,,,,,,,, '27947', '103098', '27972', '26805', '16033', '15492', '16107', '15729', '103187', '26037', '25772', '46943', '16442', '27947', '14935', '27657', '25973', '22906', '16122', '15522', '15522', '25725', '103377', '28210', '15282', '7952', '28041', '14881', '14881', '13371', '103395', '26658', '27056', '21731', '13506', '26805', '33690', '16033', '14810', '13058', '51233', '48410', '34976', '26877', '16107', '16533', '28142', '35699', '103222', '12694',,,,,,13695,1,15218,,,Castle Harlan Partners IV,Teachers Retirement System of the State of Illinois,3/31/2014,4.055555556,,,,,,,,,,,,,,,,,28112,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890,28039,28053,28068,28086,28112"
,,,,,,,,,,,,,,,,,,,,,,, '26890', '21710', '27474', '26291', '26960', '26307', '26877', '26871', '16533', '27125', '103226', '9879', '15556', '26960', '28328', '11759', '27507', '23948', '17429', '16894', '15525', '5499', '103375', '10889', '21231', '8547', '27740', '28041', '28041', '15563', '7821', '103395', '16448', '27226', '12694', '12947', '16629', '16215', '8837', '14811', '23800', '48411', '23436', '13644', '26877', '16108', '7551', '23397', '93215', '27474',,,,,,13736,1,15233,,,Evercore Capital Partners II,Teachers Retirement System of the State of Illinois,12/31/2014,1,,,,,,,,,,,,,,,,,28144,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890,28039,28053,28068,28086,28112,28144"
,,,,,,,,,,,,,,,,,,,,,,, '11164', '16448', '5195', '27972', '16059', '6054', '103138', '103201', '16108', '103187', '27456', '15644', '16437', '9531', '6472', '15233', '21693', '26140', '27711', '15880', '103111', '26928', '103278', '14991', '27686', '15286', '5079', '14885', '14885', '26063', '13371', '7821', '103398', '27056', '21710', '13506', '26805', '54079', '16033', '14810', '13058', '54079', '48412', '34976', '13644', '26871', '28144', '103348', '93217', '13188',,,,,,13843,1,15253,,,Trilantic Capital Partners IV Global,Teachers Retirement System of the State of Illinois,12/31/2014,1,,,,,,,,,,,,,,,,,28210,"5499,5566,5570,6054,6326,6336,6442,6444,6460,6461,6472,6630,6631,7801,8952,9094,9216,9263,9531,9545,9627,10801,11164,11624,11998,14810,14860,14982,14984,14998,15011,15036,15084,15172,15270,15277,15349,15492,15497,15503,15548,15729,15820,15859,16009,16033,16059,16107,16108,16122,16159,16249,16277,16281,16282,16299,16336,16474,16533,16629,16679,16859,17193,17404,21305,21308,21665,21698,21704,21710,22066,22240,22291,22514,22608,22885,23071,23124,23397,23572,23698,23924,23994,24033,24642,25772,25982,26016,26037,26063,26079,26140,26307,26404,26413,26433,26456,26590,26600,26805,26871,26878,26928,26948,26960,27056,27075,27125,27166,27327,27409,27627,27686,27888,27890,28039,28053,28068,28086,28112,28144,28210"
