Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
5/31/2002,2002,2,20022,16,4,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,19785638,27905361,12040756,724.7435307,0.924528302,28602064
2/28/2002,2002,1,20021,15,4,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,18410536,27670607,10698693,724.7435307,0.924528302,28540229
11/30/2001,2001,4,20014,14,3,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,18642484,27670607,9953729,724.7435307,0.924528302,28569416
8/31/2001,2001,3,20013,13,3,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,23517697,27670607,9415203,724.7435307,0.924528302,28586572
5/31/2001,2001,2,20012,12,3,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,24115994,27009167,7823725,724.7435307,0.924528302,28512080
2/28/2001,2001,1,20011,11,3,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,29111884,27009167,7527108,724.7435307,0.924528302,28657640
11/30/2000,2000,4,20004,10,2,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,30214668,27009167,6473137,724.7435307,0.924528302,28563369
8/31/2000,2000,3,20003,9,2,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,29989401,27009167,3430223,724.7435307,0.924528302,28591181
5/31/2000,2000,2,20002,8,2,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,28592411,27009167,1616860,724.7435307,0.924528302,28684503
2/29/2000,2000,1,20001,7,2,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,24673587,27009167,1616860,724.7435307,0.924528302,28733394
11/30/1999,1999,4,19994,6,1,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,27092540,27009167,1149973,724.7435307,0.924528302,28814075
8/31/1999,1999,3,19993,5,1,12774,3i Eurofund II,PE Growth-Expansion ,3i Group,5/1/1998,1998,2,Europe,17941,University of Texas Investment Management Company,15703,26996608,27575904,877313,724.7435307,0.924528302,28883028
